genre,avg_metascore,avg_user_score,num_games
Baseball,66.57777777777778,6.015384580844488,281
Train Sim,71.46153846153847,5.995833347241084,260
Individual Sports,55.7,5.988888886239794,340
Aircraft Sim,68.23076923076923,5.978378379667127,650
Bowling,45.15,5.933333337306976,157
Tactical FPS,72.08421052631579,5.877061876132316,815
Trivia,60.50909090909091,5.8413793095226945,821
Hockey Sim,76.53333333333333,5.838157887521543,157
Space Sim,69.5625,5.808695632478465,160
Basketball,62.743589743589745,5.779487181932498,165
Marine Sim,64.0,5.600000023841858,81
Golf Sim,75.3,5.557692312277281,255
Soccer Sim,77.81428571428572,5.511200008034706,546
Billiards,62.592592592592595,5.485000002384186,248
Gambling,56.87179487179487,5.355555574099223,1040
Football Sim,77.375,5.2659864113444375,338
Hunting,56.89655172413793,5.215555572509766,299
Basketball Sim,74.98159509202453,5.173109264058225,317
Rugby,54.55555555555556,5.024000005722046,105
Horse Racing,59.166666666666664,4.759999990463257,301
