developer,avg_metascore,avg_user_score,num_games
Freebird Games,75.66666666666667,7.733333269755046,3
Croteam,75.625,7.650000095367432,8
Frictional Games,75.625,7.550000071525574,8
Evolution Studios,75.6,7.460000133514404,5
Eidos Montreal,75.6,7.109999942779541,10
Monolith Productions,75.6,7.365000057220459,20
Dakko Dakko,75.6,6.860000038146973,5
Electronic Arts,75.58823529411765,5.83235292224323,34
Iron Galaxy Studios,75.57142857142857,6.671428595270429,14
Sledgehammer Games,75.55555555555556,4.288888878292507,9
Maxis,75.52272727272727,5.993181778626009,44
Raven Software,75.5,7.330000019073486,10
Toys for Bob,75.44444444444444,6.888888835906982,9
Sony Interactive Entertainment,75.42857142857143,6.900000027247837,7
Tarsier Studios,75.42857142857143,7.214285714285714,7
Deck Nine Games,75.41666666666667,6.50000003973643,12
Mike Bithell,75.4,6.639999961853027,5
SCEA,75.4,6.480000019073486,5
Sierra Entertainment,75.33333333333333,7.46666685740153,3
S2 Games,75.33333333333333,6.99999984105428,3
Stainless Steel Studios,75.33333333333333,8.466666539510092,3
Square Enix,75.29824561403508,7.72807014197634,57
Capcom,75.29133858267717,7.309448792239812,127
Telltale Games,75.28440366972477,7.112844069069679,109
Level 5,75.25806451612904,8.083870980047411,31
Strategy First,75.25,8.149999856948853,4
Zoink!,75.2,7.100000095367432,5
Funcom,75.2,7.280000066757202,10
Laughing Jackal,75.2,6.460000038146973,5
Tango Gameworks,75.16666666666667,8.416666587193808,6
BioWare,75.12903225806451,6.8516128909203315,31
Inti Creates,75.11764705882354,7.623529462253346,17
EA Tiburon,75.03030303030303,5.509090907645948,33
Nerial,75.0,6.850000023841858,4
Code Mystics Inc.,75.0,7.600000040871756,7
Free Radical Design,75.0,7.2500001192092896,4
Grimlore Games,75.0,7.950000047683716,4
Paradox Interactive,74.875,7.324999988079071,8
Factor 5,74.83333333333333,7.933333317438762,6
JoyMasher,74.75,7.900000095367432,4
Cryptic Studios,74.75,7.225000023841858,4
Digital Illusions,74.6923076923077,6.761538468874418,13
Terri Vellimann,74.66666666666667,7.466666539510091,3
Tribute Games,74.66666666666667,6.6166666348775225,6
TopWare Interactive,74.66666666666667,7.566666603088379,3
Over The Moon,74.66666666666667,7.433333396911621,3
Crytek,74.6,7.009999990463257,10
Gunfire Games,74.6,6.599999952316284,10
Core Design Ltd.,74.6,7.500000095367431,5
Amplitude Studios,74.57142857142857,7.428571496691022,7
Ascaron Entertainment,74.55555555555556,7.255555576748318,9
Sega AM2,74.54545454545455,7.4454545757987285,11
Hitmaker,74.5,7.9125001430511475,8
Frozenbyte,74.46153846153847,7.376923084259033,13
Gas Powered Games,74.42857142857143,7.342857088361468,7
Volition Inc.,74.36842105263158,6.7947368747309635,19
EA Redwood Shores,74.33333333333333,6.850000063578288,6
Tomorrow Corporation,74.33333333333333,7.766666730244954,3
5TH Cell,74.33333333333333,7.383333444595337,6
Bethesda Game Studios,74.26315789473684,6.0263158396670695,19
SideQuest Studios,74.25,6.7499998807907104,4
Passtech Games,74.25,6.425000071525574,4
SNK Corporation,74.2,7.280000019073486,5
SCE Japan Studio,74.2,7.460000076293945,25
People Can Fly,74.2,7.5,5
Exordium Games,74.0,6.125,4
Soldak Entertainment,74.0,7.2399999618530275,5
Robotality,74.0,6.099999904632568,3
Skybound Games,74.0,7.4142857279096335,7
22nd Century Toys,74.0,6.966666539510091,3
Mediatonic,74.0,6.683333317438762,6
ClockStone Studio,74.0,6.199999928474426,4
Monster Games Inc.,73.9090909090909,6.363636406985196,11
Hothead Games,73.83333333333333,7.400000015894572,6
Best Way,73.8,7.6200000762939455,5
Wargaming.net,73.8,4.139999961853027,5
Experience Inc.,73.77777777777777,7.666666666666667,9
Survios,73.75,6.325000047683716,8
The Odd Gentlemen,73.75,6.350000023841858,4
Ubisoft Romania,73.75,6.549999952316284,4
Tikipod Limited,73.66666666666667,7.533333460489909,3
XDEV,73.66666666666667,7.233333269755046,3
The Chinese Room,73.66666666666667,6.1333333651224775,3
Studio Saizensen,73.66666666666667,8.099999904632568,3
Massive Damage,73.66666666666667,6.933333237965901,3
White Paper Games,73.66666666666667,6.1333333651224775,3
syn Sophia,73.66666666666667,6.8666666348775225,3
From Software,73.65789473684211,7.681578962426436,38
EA Vancouver,73.625,3.974999949336052,8
Asobo Studio,73.6,7.2000000953674315,5
NExT Studios,73.6,7.360000038146973,5
Pyro Studios,73.6,8.160000133514405,5
The Sims Studio,73.58333333333333,5.958333333333333,12
Gust,73.53333333333333,7.7966667175292965,30
Flight-Plan,73.5,7.950000047683716,4
Gearbox Software,73.5,6.739285792623248,28
Owlchemy Labs,73.5,6.325000047683716,4
TimeGate Studios,73.5,8.099999785423279,4
Treyarch,73.5,5.934615405706259,26
Koei Tecmo Games,73.47058823529412,7.958823568680707,17
Grasshopper Manufacture,73.4,7.87999997138977,10
Razorworks,73.33333333333333,7.300000031789144,3
Bigbig Studios,73.33333333333333,7.133333206176758,3
System Prisma,73.33333333333333,7.933333237965901,3
Infinite Dreams,73.33333333333333,6.8666666348775225,3
Spiral House,73.33333333333333,7.0,3
Southend Interactive,73.28571428571429,7.628571510314941,7
Flyhigh Works,73.2,7.160000133514404,5
EA Games,73.2,7.060000038146972,5
TOSE,73.1875,7.239583348234494,48
Tecmo,73.08333333333333,7.5583333770434065,12
TT Games,73.0625,6.925000041723251,16
Studio Fizbin,73.0,6.5,3
Tindalos Interactive,73.0,7.149999976158142,4
Doinksoft,73.0,7.700000127156575,3
Bulwark Studios,73.0,7.50000015894572,3
MachineGames,73.0,5.719999980926514,5
Hero Concept,73.0,7.733333269755046,3
Undead Labs,73.0,6.399999936421712,3
Marvelous First Studio,73.0,7.200000047683716,4
Ronimo Games,73.0,6.650000095367432,4
34BigThings,73.0,6.399999976158142,4
