publisher,avg_metascore,avg_user_score,gap
Sorath,86.0,6.8999998569488525,17.000001430511475
Blackstar Interactive,63.0,4.599999904632568,17.000000953674316
Alkemi Games,78.0,6.099999904632568,17.000000953674316
AMC Games,71.5,5.449999928474426,17.000000715255737
Yoostar Entertainment Group,50.0,3.299999952316284,17.000000476837158
Pandora Studios,58.0,7.5,17.0
7sixty,47.0,3.0,17.0
Critical Games,87.0,7.0,17.0
RocketWerkz,67.0,5.0,17.0
Skyshine Games,67.0,5.0,17.0
Indietopia Games,72.0,5.5,17.0
Thing Trunk,72.0,5.5,17.0
Hollow Ponds,71.0,5.400000095367432,16.999999046325684
Manic Game Studios,81.0,6.400000095367432,16.999999046325684
Ronimo Games,81.0,6.400000095367432,16.999999046325684
Sidhe Interactive,86.0,6.900000095367432,16.999999046325684
Piranha Games,70.5,5.3500001430511475,16.999998569488525
Yukitama Creative Industries,75.0,5.800000190734863,16.999998092651367
Media House,80.0,6.300000190734863,16.999998092651367
Ynnis Interactive,60.0,7.699999809265137,16.999998092651367
Silesia Games,65.0,4.800000190734863,16.999998092651367
Data Becker,50.0,6.699999809265137,16.999998092651367
FuturLab,79.375,6.249999970197678,16.875000298023224
SCi,60.75,7.7499998807907104,16.749998807907104
Digital Bards,73.0,5.6333333651224775,16.666666348775223
Cardboard Computer,86.0,6.939999961853028,16.600000381469727
MTO,61.5,7.800000190734863,16.500001907348633
Tribute Games,74.5,5.799999952316284,16.500000476837158
Gato Salvaje Studio,64.5,4.799999952316284,16.500000476837158
Killmonday Games,63.5,8.0,16.5
Protonic Interactive,68.0,5.199999809265137,16.000001907348633
Basecamp Games,47.0,6.300000190734863,16.000001907348633
Ice Water Games,55.0,7.1000001430511475,16.000001430511475
Die Gute Fabrik,82.0,6.599999904632568,16.000000953674316
Pixel Soft,53.0,6.900000095367432,16.000000953674316
GameMill Publishing,38.0,5.400000095367432,16.000000953674316
Sonnori,48.0,6.400000095367432,16.000000953674316
Polyslash,64.0,8.0,16.0
Squad,76.0,6.0,16.0
Vector Unit,71.0,5.5,16.0
Dr. Kucho! Games,79.0,9.5,16.0
OXiAB Game Studio,49.0,6.5,16.0
iFun4all,43.0,5.899999976158142,15.999999761581421
Zushi Games Ltd,62.5,7.849999904632568,15.999999046325684
"Mighty Coconut, LLC",90.0,7.400000095367432,15.999999046325684
Media Rings,79.0,6.300000190734863,15.999998092651367
Panic Button,46.0,6.199999809265137,15.999998092651367
Virtual Basement,56.0,7.199999809265137,15.999998092651367
Unimatrix Productions,74.0,5.800000190734863,15.999998092651367
CBE software,66.0,8.199999809265137,15.999998092651367
Stirfire Studios,64.0,4.800000190734863,15.999998092651367
Gala Networks,74.0,5.800000190734863,15.999998092651367
Channel 4,74.0,5.800000190734863,15.999998092651367
Cinemaware,84.0,6.800000190734863,15.999998092651367
PID Games,89.0,7.300000190734863,15.999998092651367
ThreeGates,41.0,5.699999809265137,15.999998092651367
Digital Bros. S.p.A.,59.0,4.300000190734863,15.999998092651367
Hi-Bit Studios,74.0,5.800000190734863,15.999998092651367
TURBOGUN,68.0,8.399999618530273,15.999996185302734
Hudson Soft,50.2,6.600000095367432,15.800000953674314
Secret Mode,71.0,5.53333314259847,15.666668574015304
Tecmo Koei Games,61.142857142857146,7.671428544180734,15.571428298950188
Fatshark,74.75,5.924999952316284,15.500000476837158
Cyan Worlds,78.5,6.299999952316284,15.500000476837158
CHUDCHUD INDUSTRIES,47.5,6.299999952316284,15.499999523162842
Monster Couch,77.0,6.150000095367432,15.499999046325684
Running With Scissors,62.5,7.799999713897705,15.49999713897705
Gameforge,74.0,5.8749998807907104,15.250001192092896
Typhoon Games,63.0,7.800000190734863,15.000001907348633
ENDEMOL UK LIMITED,67.0,5.199999809265137,15.000001907348633
Haruneko,72.0,5.699999809265137,15.000001907348633
Jumpship,67.0,5.199999809265137,15.000001907348633
Indie Games,66.5,8.150000095367432,15.000000953674316
"Anvil Drop, LLC",49.0,6.400000095367432,15.000000953674316
Gaslamp Games,68.5,5.349999904632568,15.000000953674316
Apogee Entertainment,91.0,7.599999904632568,15.000000953674316
Mechanic Arms,46.5,6.150000095367432,15.000000953674316
Prismatika,80.0,6.5,15.0
GuGames DEV,75.0,6.0,15.0
Encore Games,65.0,8.0,15.0
Emilios Manolidis,65.0,8.0,15.0
Cognosphere,80.0,6.5,15.0
Cyber Rhino Studios,55.0,7.0,15.0
"International Games System Co., Ltd.",60.0,7.5,15.0
Lukasz Krasniewski,70.0,5.5,15.0
Eutechnyx,64.0,4.900000095367432,14.999999046325684
Pixelatto,84.0,6.900000095367432,14.999999046325684
OG International Ltd,58.0,4.300000190734863,14.999998092651367
Kiss,73.0,5.800000190734863,14.999998092651367
Pelfast,83.0,6.800000190734863,14.999998092651367
Nocturnal Entertainment,73.0,5.800000190734863,14.999998092651367
Numinous Games,78.0,6.300000190734863,14.999998092651367
"Jundroo, LLC",69.0,8.399999618530273,14.999996185302734
Valve Software,81.55555555555556,6.700000047683716,14.555555078718399
Tripwire Interactive,69.75,5.524999976158142,14.500000238418579
Sierra Online,74.0,5.950000047683716,14.499999523162842
TOYBOX,66.0,5.150000095367432,14.499999046325684
Nexon Europe,73.5,5.900000095367432,14.499999046325684
Bungie,83.0,6.8666666348775225,14.333333651224777
Destineer,40.333333333333336,5.4666666984558105,14.33333365122477
Paramount Digital Entertainment,58.333333333333336,4.399999976158142,14.333333571751915
Nexon,75.5,6.133333285649617,14.16666714350383
Ivent Games,67.0,8.100000381469727,14.000003814697266
eGenesis,79.0,9.300000190734863,14.000001907348633
Beatnik Games,76.0,6.199999809265137,14.000001907348633
Vivid Games,76.0,6.199999809265137,14.000001907348633
GSC Game World,61.5,7.550000190734863,14.000001907348633
CINEMAX GAMES,64.0,7.800000190734863,14.000001907348633
straka.studio,66.0,5.199999809265137,14.000001907348633
Sony Platform Publishing,81.0,6.699999809265137,14.000001907348633
Subatomic Studios,81.0,6.699999809265137,14.000001907348633
Comedy Central Games,44.0,5.800000190734863,14.000001907348633
Big Star Games,45.0,5.900000095367432,14.000000953674316
StressLevelZero,80.0,6.599999904632568,14.000000953674316
Phosfiend Systems,75.0,6.099999904632568,14.000000953674316
DMM GAMES,67.75,5.374999940395355,14.000000596046448
LEGO Games,79.0,6.5,14.0
Route 59 Games,76.0,9.0,14.0
RTL,94.0,8.0,14.0
Merscom LLC,54.0,4.0,14.0
Pixel Maniacs,74.0,6.0,14.0
Morgondag,64.0,5.0,14.0
Craneballs Studios,74.0,6.0,14.0
TastyPlay,64.0,5.0,14.0
Dice Multi Media,51.0,6.5,14.0
Altron,66.0,8.0,14.0
2PT PTY LTD,84.0,7.0,14.0
Visai Games,79.0,6.5,14.0
BitFinity,86.0,7.200000047683716,13.999999523162842
animdude,62.0,7.599999904632568,13.999999046325684
BadFly Interactive,78.0,6.400000095367432,13.999999046325684
"Final Form Games, LLC",83.0,6.900000095367432,13.999999046325684
Beep,62.0,7.599999904632568,13.999999046325684
Mischief,78.0,6.400000095367432,13.999999046325684
Dreadlocks,62.0,7.599999904632568,13.999999046325684
Anton Riot,68.0,8.199999809265137,13.999998092651367
Ackkstudios,57.0,4.300000190734863,13.999998092651367
Turtle Sandbox LLC,72.0,5.800000190734863,13.999998092651367
