developer,avg_metascore,avg_user_score,num_games
Milkstone Studios,71.25,7.199999809265137,4
Sega,70.425,7.192499995231628,40
Harmonix Music Systems,77.3,7.179999995231628,20
Game Freak,79.57142857142857,7.17999997820173,35
Spike,63.8,7.179999923706054,5
Gambitious,72.0,7.175000071525574,4
Hydravision,62.333333333333336,7.1666669845581055,3
Brace Yourself Games,80.66666666666667,7.166666825612386,3
M2H,65.33333333333333,7.166666666666667,3
Smart Bomb Interactive,66.33333333333333,7.166666666666667,3
MicroProse,65.33333333333333,7.166666666666667,3
Hi-Rez Studios,78.66666666666667,7.166666666666667,3
RideonJapan,67.33333333333333,7.166666666666667,3
Puuba,67.66666666666667,7.166666666666667,3
High Moon Studios,63.0,7.166666666666667,3
Io Interactive,77.19047619047619,7.166666643960135,21
RedLynx,78.0,7.16666661368476,9
Flyhigh Works,73.2,7.160000133514404,5
InXile Entertainment,75.8,7.159999990463257,10
Traveller's Tales,69.10526315789474,7.1526315839667065,19
WB Games Montreal,71.75,7.150000095367432,4
Microsoft Game Studios,79.77777777777777,7.150000068876478,18
Tindalos Interactive,73.0,7.149999976158142,4
Arzest,63.25,7.149999976158142,4
Colossal Order,77.125,7.149999886751175,8
EA LA,76.33333333333333,7.146666638056437,15
Firaxis Games,82.6,7.144000015258789,25
Renegade Kid,71.71428571428571,7.142857142857143,7
Introversion,77.0,7.140000057220459,5
Zordix,55.333333333333336,7.133333524068196,3
Fishing Cactus,69.0,7.1333333651224775,3
Hudson Soft,60.75,7.1333333651224775,12
Bigbig Studios,73.33333333333333,7.133333206176758,3
SuperVillain Studios,69.66666666666667,7.133333206176758,3
Backbone Entertainment,65.67857142857143,7.132142884390695,28
FASA Studio,81.25,7.1250001192092896,4
Nixxes Software,76.4,7.1200000762939455,5
Konami Computer Entertainment Hawaii,59.0,7.119999980926513,5
Hello Games,79.6,7.119999885559082,5
Sidhe Interactive,67.16666666666667,7.116666714350383,6
Telltale Games,75.28440366972477,7.112844069069679,109
Genius Sonority Inc.,67.66666666666667,7.111111217074924,9
Eidos Montreal,75.6,7.109999942779541,10
Acquire,65.52941176470588,7.105882448308608,17
KCE Studios,54.333333333333336,7.100000222524007,3
Zoink!,75.2,7.100000095367432,5
Felistella,67.2,7.100000095367432,5
Cavia Inc.,62.666666666666664,7.100000010596381,9
Beenox,65.83333333333333,7.099999904632568,6
Shift,65.5,7.099999904632568,4
Psytec Games Ltd,57.666666666666664,7.099999904632568,3
Mebius,70.0,7.099999904632568,3
Double Fine Productions,76.0,7.091304291849551,23
Housemarque,81.0,7.090000009536743,10
Frogwares,68.77777777777777,7.088888857099745,9
Tri-Ace,69.5,7.087500035762787,8
Project Aces,72.625,7.087499916553497,8
Shiro Games,72.66666666666667,7.083333412806193,6
Impressions Games,78.25,7.075000047683716,4
Broken Rules,70.25,7.074999928474426,4
QubicGames,67.28571428571429,7.071428639548166,7
Creative Assembly,79.0,7.068292675948724,41
Lionhead Studios,71.26666666666667,7.06666669845581,15
Incognito Inc.,76.125,7.062499940395355,8
EA Games,73.2,7.060000038146972,5
Q-Games,76.0,7.05714293888637,14
WayForward,69.59375,7.056250050663948,32
h.a.n.d. Inc.,64.9090909090909,7.045454523780129,11
Dimps Corporation,64.3,7.044999998807907,20
Yuke's,71.125,7.043750032782555,32
Krome Studios,61.357142857142854,7.042857136045184,14
Bongfish,65.0,7.039999961853027,5
Two Tribes,76.8,7.039999961853027,5
Cyan Worlds,78.125,7.037499904632568,8
Mode 7 Games,80.0,7.033333460489909,3
Nifflas Games,76.0,7.0333333015441895,3
Aplus,66.33333333333333,7.0333333015441895,3
