genre,avg_metascore,avg_user_score,num_games,gap
Metroidvania,78.75,7.366129051293096,848,-5.088709487069039
Open-World Action,72.92796610169492,6.774248498236249,1916,-5.185481119332437
Vehicle Sim,65.79310344827586,6.055769283037919,528,-5.235410617896669
Future Sport,68.0,6.2722223202387495,96,-5.277776797612503
Stacking Puzzle,72.5,6.716000032424927,427,-5.339999675750732
Hockey,69.38461538461539,6.390909151597456,63,-5.475523868640828
Sandbox,74.53465346534654,6.861445836992149,742,-5.9201950954250435
4X Strategy,76.64285714285714,7.058928564190865,382,-6.053571500948493
Board,67.56296296296296,6.137820531924565,3206,-6.184757643717305
Baseball,66.57777777777778,6.015384580844488,281,-6.423931969332898
Golf,69.42,6.2860000443458555,301,-6.559999556541449
Football,67.11111111111111,6.0428572070030935,176,-6.682539041080176
Auto Racing Sim,71.6923076923077,6.488729891175661,1460,-6.805008780551091
Matching Puzzle,70.92913385826772,6.403174624083534,2075,-6.897387617432372
Arcade,69.57142857142857,6.226257011877092,3109,-7.3088584526576525
Combat Sport,70.07317073170732,6.251666669050852,226,-7.556504041198799
Billiards,62.592592592592595,5.485000002384186,248,-7.742592568750737
Tactical Third Person Shooter,69.40517241379311,6.16558442100302,346,-7.749328203762914
Card Battle,73.10897435897436,6.512953377758283,940,-7.979440581391543
Marine Sim,64.0,5.600000023841858,81,-7.999999761581421
Virtual Life,69.75862068965517,6.136036046990403,1305,-8.398260219751137
Aircraft Sim,68.23076923076923,5.978378379667127,650,-8.446985434097954
MOBA,71.66666666666667,6.272580617858518,204,-8.940860488081498
Skating,73.17525773195877,6.411494255922307,181,-9.060315172735699
Text Adventure,73.0,6.342307714315561,608,-9.57692285684439
Soccer Management,75.06451612903226,6.4312500432133675,278,-10.752015696898582
Space Sim,69.5625,5.808695632478465,160,-11.475543675215349
Train Sim,71.46153846153847,5.995833347241084,260,-11.503204989127624
Horse Racing,59.166666666666664,4.759999990463257,301,-11.566666762034096
Pinball,76.37647058823529,6.447126450894893,669,-11.905206079286359
MMORPG,74.14054054054054,6.145000006920761,1240,-12.69054047133293
Tactical FPS,72.08421052631579,5.877061876132316,815,-13.313591764992623
Baseball Sim,75.89430894308943,6.207692349874057,382,-13.817385444348858
Hockey Sim,76.53333333333333,5.838157887521543,157,-18.1517544581179
Golf Sim,75.3,5.557692312277281,255,-19.723076877227186
Soccer Sim,77.81428571428572,5.511200008034706,546,-22.702285633938658
Basketball Sim,74.98159509202453,5.173109264058225,317,-23.25050245144228
Football Sim,77.375,5.2659864113444375,338,-24.71513588655563
Demo Disc,,7.133333524068196,392,
